Date,Season,Year,Type,Country,Source,Age,Sex,State,Location,Fatal Y/N,Activity,Species
31-Dec,Winter,2017,Unprovoked,usa,"j. howard, surfling now, 1/2/2018",54,F,Hawaii,"Hultin's Beach, Oahu",N,surfing,tiger shark
30-Dec,Winter,2017,Unprovoked,usa,r. collier,35,F,California,"Drakes Estero, Point Reyes, Marin County",N,surfing,other
21-Dec,,2017,Provoked,malaysia,trackingsharks.com,24,M,Sepang,Bagan Lalang Beach,N,fishing,other
09-Dec,,2017,Unprovoked,bahamas,"daily star, 12/11/2017",25,F,Unknown,,N,snorkeling,other
01-Dec,,2017,Unprovoked,australia,glen folkard personal interview with victim,62,M,New South Wales,Booti Booti National Park,N,surfing,white shark
30-Nov,,2017,Unprovoked,costa rica,r. arauz,26,M,Unknown,Manuelita,N,other,tiger shark
30-Nov,,2017,Unprovoked,costa rica,r. arauz,49,F,Unknown,Manuelita,Y,other,tiger shark
Unknown,Unknown,2017,Sea Disaster,libya,"tg com 24, 11/25/2017",Unknown,Unknown,Unknown, Gars Garabulli,Y,boating,other
24-Nov,Fall,2017,Unprovoked,usa,"r. collier, gsaf",25,M,California,"Stillwater Cove, Monterey County",N,fishing,white shark
03-Sep,Fall,2007,Unprovoked,usa,"s. petersohn, gsaf",12,F,Florida,"Daytona Beach, Volusia County",N,other,other
Unknown,Unknown,2017,Unprovoked,unknown,instagram,24,M,Unknown,,N,surfing,other
13-Nov,,2017,Unprovoked,australia,"b. myatt, gsaf",25,M,New South Wales,Avoca Beach,N,surfing,other
04-Nov,,2017,Unprovoked,cuba,trackingsharks.com,22,M,Holquin Province,Guardalavaca Beach,Y,other,tiger shark
02-Nov,Fall,2017,Unprovoked,usa,"star advertiser, 11/2/2017",Unknown,M,Hawaii,Makaha,N,surfing,other
Unknown,Unknown,2017,Unprovoked,australia,"townsville bulletin, 10/31/2017",7,M,Queensland,Magnetic Island,N,snorkeling,other
28-Oct,,2017,Unprovoked,australia,"b. myatt, gsaf",31,M,New South Wales,Birubi Point,N,surfing,other
26-Oct,Fall,2017,Unprovoked,usa,"hawaii news now, 10/27/2017",Unknown,M,Hawaii,"White Plains Beach, Oahu",N,paddle,other
23-Oct,,2017,Unprovoked,mauritius,"j. leblanc, gsaf",Unknown,M,Pamplemousses,Le Goulet,N,swimming,other
10-Oct,Fall,2006,Unprovoked,usa,"s. petersohn, gsaf",20,M,Florida,"Daytona Beach, Volusia County",N,surfing,other
22-Nov,Fall,2003,Unprovoked,usa,t. trumbauer,35,F,Florida,"Daytona Beach, Volusia County",N,surfing,other
22-Oct,,2017,Unprovoked,australia,"nine news, 10/22/2017",15,F,South Australia,Normanville,N,fishing,white shark
21-Oct,,2017,Watercraft,new zealand,"new zealand herald, 10/22/2017",Unknown,M,Unknown,"Off Tapuna Beach, Auckand",N,kayaking,other
30-Oct,Fall,1999,Unprovoked,usa,"s. petersohn, gsaf",45,M,Florida,"Daytona Beach, Volusia County",N,other,other
09-Oct,Fall,2017,Unprovoked,usa,"hawaii news now, 10/10/2017",54,M,Hawaii,"Davidsons Beach, Kekaha, Kauai",N,surfing,tiger shark
05-Oct,Fall,2017,Unprovoked,usa,"maui now, 10/5/2017",40,F,Hawaii,"Kama ole Beach Park, Maui ",N,snorkeling,other
01-Oct,,2017,Invalid,south africa,"all africa, 10/11/2017",31,M,Western Cape Province,Dyer Island,Unknown,other,other
04-Oct,Fall,1997,Unprovoked,usa,"s. petersohn, gsaf; orlando sentinel, 10/5/1997, p.b.3; j. bozzo; daytona beach news journal, 10/6/1997, p.3d",14,F,Florida,"Daytona Beach, Volusia County",N,swimming,other
25-Sep,,2017,Unprovoked,australia,"stab magazine, 9/26/2017",Unknown,M,Western Australia,Gracetown,N,surfing,white shark
24-Sep,Fall,2017,Invalid,usa,"s. curatolo-wageman, gsaf",33,M,New York,Rockaway,Unknown,surfing,other
17-Sep,Fall,1995,Unprovoked,usa,"s. petersohn, gsaf; orlando sentinel, 9/18/1995, p.c.3",19,F,Florida,"Daytona Beach, Volusia County",N,swimming,other
30-Nov,Fall,1986,Unprovoked,usa,"orlando sentinel, 11/30/1986",17,M,Florida,"Daytona Beach, Volusia County",N,surfing,other
16-Sep,,2017,Unprovoked,spain,turismo la aldea,13,M,Unknown,Gran Canaria ,N,surfing,other
13-Oct,Fall,1983,Unprovoked,usa,"daytona beach morning journal, 10/21/1983",20,M,Florida,"Daytona Beach, Volusia County",N,wading,other
15-Sep,,2017,Invalid,south africa,"ground up, 9/20/2017",25,M,Western Cape Province,Hawston,Unknown,other,other
15-Sep,,2017,Invalid,samoa,"samoa observer, 9/16/2017",Unknown,M,Unknown,Nofoali i,N,fishing,other
Unknown,Unknown,2017,Watercraft,australia,"b. myatt, gsaf",Unknown,Unknown,Westerm Australia,Esperance,N,fishing,white shark
01-Nov,Fall,1974,Unprovoked,usa,"daytona beach morning journal, 11/2/1974",24,M,Florida,"Daytona Beach, Volusia County",N,other,other
10-Sep,,2017,Unprovoked,australia,"west australian, 9/11/2017",Unknown,M,Westerm Australia,Sam's Creek area,N,swimming,other
10-Sep,,2017,Unprovoked,australia,"b. myatt, gsaf",35,M,New South Wales,Iluka Beach,N,surfing,white shark
Unknown,Unknown,2017,Unprovoked,solomon islands,bbc,Unknown,M,Unknown,Owarigi Island,N,fishing,other
03-Sep,,2017,Unprovoked,south africa,"all africa, 10/11/2017",Unknown,M,Western Cape Province,Dyer Island,Y,swimming,other
03-Sep,,2017,Unprovoked,japan,"japan today, 9/4/2017",42,M,Shizuoka Prefecture,Iwata City,N,surfing,other
23-Sep,Fall,1956,Unprovoked,usa,"daytona beach morning journal, 9/26/1956",27,M,Florida,"Daytona Beach, Volusia County",N,surfing,other
02-Sep,Fall,2017,Unprovoked,usa,"brownsville herald, 9/5/2017",Unknown,F,Texas,"South Padre Island, Cameron County",N,swimming,other
13-Sep,Fall,2003,Unprovoked,usa,"s. petersohn, gsaf; news journal online; orlando sentinel, 9/15/2003, p.b2; r. weiss, daytona beach news journal, 9/15/2001, p.3c",18,M,Florida,"Daytona Beach, Volusia County ",N,other,other
29-Aug,,2017,Unprovoked,australia,"b. myatt, gsaf",37,M,Victoria,Cathedral Rock,N,surfing,white shark
27-Aug,Summer,2017,Unprovoked,usa,"sun sentinel, 8/27/2017",3,F,Florida,Bathtub Beach ,N,wading,other
26-Aug,,2017,Invalid,spain,"el periodico mediterraneo, 8/27/2017",11,F,Castellón,Grao de Moncofa,Unknown,swimming,other
26-Aug,,2017,Watercraft,new zealand,"c.black, gsaf",Unknown,M,Unknown,Off Tutukaka,N,other,other
23-Aug,Summer,2017,Unprovoked,usa,"cape cod times, 8/23/2017",69,M,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",N,other,white shark
18-Aug,,2017,Unprovoked,bahamas,"cbs12, 8/18/2017",Unknown,M,Unknown,,N,fishing,other
10-Aug,Summer,2017,Unprovoked,usa,"c. creswell, gsaf",13,M,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",N,swimming,other
05-Aug,,2017,Unprovoked,egypt,"egyptian government, 8/5/2017",20,F,Unknown,Marsa Ghalib,N,snorkeling,white shark
03-Aug,Summer,2017,Provoked,usa,"masslive, 8/4/2017",34,M,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",N,fishing,other
01-Aug,Summer,2017,Watercraft,usa,"r. collier, gsaf",Unknown,M,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",N,fishing,white shark
31-Jul,Summer,2017,Unprovoked,usa,"k. mcmurray, tracking sharks",15,M,Florida,"Jacksonvlle, Duval County",N,other,other
29-Jul,Summer,2017,Invalid,usa,"c. creswell, gsaf",10,M,South Carolina,"Hilton Head Island, Beaufort County",Unknown,swimming,other
29-Jul,Summer,2017,Unprovoked,usa,"c. creswell, gsaf",12,F,South Carolina,"DeBordieu Colony, Georgetown County",N,other,other
27-Jul,,2017,Unprovoked,bahamas,"r. rolle, tribune 242,  7/28/2017",Unknown,F,New Providence District,Rose Island,N,snorkeling,other
Unknown,Unknown,2017,Unprovoked,bahamas,"revistajaraysedal.es, 7/26/2017",Unknown,M,Unknown,,N,fishing,other
24-Jul,,2017,Unprovoked,st helena,"telegraph uk, 7/28/2017",37,M,Unknown,English Bay,N,surfing,other
23-Jul,Summer,2017,Unprovoked,usa,a. smith,Unknown,F,New Jersey,Ventnor,N,other,tiger shark
23-Jul,,2017,Unprovoked,spain,"daily record, 7/24/2017",Unknown,F,Majorca,"Estanys Beach, Colonia de Sant",N,swimming,other
22-Jul,Summer,2017,Unprovoked,usa,"nbc miami, 7/23/2017",40,F,Florida,"Snipes Point, Monroe County",N,other,other
20-Jul,Summer,2017,Invalid,usa,"c. creswell, gsaf",8,F,South Carolina,"Hilton Head Island, Beaufort County",Unknown,swimming,other
20-Jul,Summer,2017,Watercraft,usa,"r. collier, gsaf",40,M,California,"Stearns Wharf, Santa Barbara",N,kayaking,white shark
20-Jul,Summer,2017,Unprovoked,usa,"r. collier, gsaf",50,M,California,"Seal Rock, Goleta Beach, Santa Barbara",N,other,white shark
14-Jul,Summer,2017,Unprovoked,usa,"r. collier, gsaf",Unknown,M,Washington,"South Beach, Westport, Grays Harbor County",N,surfing,white shark
14-Jul,,2017,Unprovoked,australia,unknown,Unknown,M,Western Australia,Floreat Beach,N,surfing,other
11-Jul,Summer,2017,Watercraft,usa,"r. collier, gsaf",Unknown,M,California,"Santa Cruz, Santa Cruz County",N,kayaking,white shark
09-Jul,Summer,2017,Unprovoked,usa,"miami-beach patch, 7/9/2017",46,M,Florida,"Haulover Beach, Miami-Dade County",N,swimming,bull shark
Unknown,Unknown,2017,Provoked,mexico,"tabasco hoy, 7/7/2017",32,M,Tabasco,"S nchez Magallanes, C rdenas",N,fishing,tiger shark
07-Jul,,2017,Unprovoked,south africa,"dispatch live, 7/7/2027",13,F,Eastern Cape Province,"Nahoon Reef, East London",N,surfing,white shark
02-Jul,,2017,Invalid,comoros,"linfo, 7/3/2017",Unknown,Unknown,Anjouan,Moya,Unknown,fishing,other
29-Jun,Summer,2017,Invalid,usa,"c. creswell, gsaf",Unknown,M,South Carolina,Wrightsville Beach,Unknown,fishing,other
21-Jun,Summer,2017,Unprovoked,usa,"c. creswell, gsaf",16,F,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",N,swimming,other
19-Jun,Summer,2017,Unprovoked,usa,"cbs12, 6/19/2017",Unknown,M,Florida,"Singer Island, Palm Beach County",N,surfing,other
18-Jun,Summer,2017,Unprovoked,usa,"c. creswell, gsaf",14,F,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",N,swimming,bull shark
18-Jun,,2017,Unprovoked,reunion,"clincanoo, 6/19/2017",34,M,Unknown,Roches Noire,N,other,bull shark
17-Jun,,2017,Unprovoked,spain,"diario de ibiza, 6/17/'2017",82,M,Unknown,Playa d en Bossa,N,swimming,other
Unknown,Unknown,2017,Unprovoked,french polynesia,"tahiti infos, 6/6/2017",Unknown,M,Marquesas,"Atuona Bay, Hiva Oa Island",N,surfing,other
Unknown,Unknown,2017,Unprovoked,bahamas,"aol.uk, 6/14/2017",Unknown,F,Unknown,,N,other,other
11-Jun,,2017,Unprovoked,australia,"wa today, 6/11/2017",48,M,Western Australia,"Point Casuarina, Bunbury",N,other,white shark
10-Jun,,2017,Unprovoked,australia,victoria shark reports,Unknown,F,Victoria,"Flinders, Mornington Penisula",N,surfing,other
10-Jun,Summer,2017,Unprovoked,usa,"daytona beach news-journal, 6/10/2017",19,M,Florida,"Ponce Inlet, Volusia County",N,surfing,other
Unknown,Unknown,2017,Unprovoked,united kingdom,"c. moore, gsaf",30,M,South Devon,Bantham Beach,N,surfing,other
04-Jun,Summer,2017,Unprovoked,usa,"nine news, 6/7/2017",Unknown,M,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",N,fishing,other
02-Jun,,2017,Unprovoked,bahamas,"tribune 242, 6/2/2017",32,F,New Providence,Athol Island,N,snorkeling,tiger shark
30-May,Spring,2017,Provoked,usa,"c. creswell, gsaf",20,F,South Carolina,"Awendaw, Charleston County",N,other,other
28-May,Spring,2017,Unprovoked,usa,"m. michaelson, gsaf",Unknown,M,Florida,Off Jupiter,N,other,tiger shark
27-May,,2017,Invalid,australia,"b. myatt, gsaf",73,M,New South Wales,Evans Head,N,fishing,other
12-May,,2017,Unprovoked,united arab emirates,"gulf news, 5/13/2017",41,M,"Sharjah,",Khor Fakkan,N,fishing,other
Unknown,Unknown,2017,Provoked,australia,"the sun, 5/6/2017",29,M,Queensland,Weipa,N,other,other
05-May,,2017,Unprovoked,mexico,j. rozada,33,M,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Y,snorkeling,other
03-May,Spring,2017,Invalid,usa,"r. collier, gsaf",18,F,California,"Sunset Beach, Orange County",Unknown,surfing,other
29-Apr,Spring,2017,Unprovoked,usa,"r. collier, gsaf",Unknown,F,California,"San Onofre, San Diego County ",N,swimming,other
29-Apr,,2017,Unprovoked,south africa,"j. de villiars, news24, 4/29/2017",14,M,Western Cape Province,"Keurbooms, Plettenberg Bay",N,surfing,other
29-Apr,Spring,2017,Unprovoked,usa,"c. creswell, gsaf",33,F,South Carolina,"Folly Beach, Charleston County",N,surfing,other
29-Apr,,2017,Unprovoked,reunion,"clicanoo, 4/29/2017",28,M,Saint-Leu,Pointe au Sal,Y,other,other
27-Apr,,2017,Unprovoked,new zealand,"c.black, gsaf",Unknown,F,Unknown,"Porpoise Bay, Catlins",N,other,other
26-Apr,Spring,2017,Invalid,usa,"the sun, 5/6/2017",Unknown,F,Florida,,Unknown,other,other
22-Apr,,2017,Unprovoked,st helena,"daily mail, 4/25/2017",40,F,Unknown,English Bay,N,snorkeling,other
20-Apr,Spring,2017,Invalid,usa,"c. creswell, gsaf",Unknown,M,South Carolina,Georgetown County,Unknown,swimming,other
17-Apr,Spring,2017,Unprovoked,usa,"daytona beach news-journal, 4/17/2017",Unknown,Unknown,Florida,"Daytona Beach, Volusia County",N,other,other
17-Apr,,2017,Unprovoked,australia,"b. myatt, gsaf",17,F,Western Australia,Kelpies near Wylie Bay,Y,surfing,white shark
14-Apr,Spring,2017,Unprovoked,usa,"hawaii news now, 4/14/2017",28,M,Hawaii,"Kekaha Beach, Kauai",N,surfing,tiger shark
13-Apr,Spring,2017,Unprovoked,usa,"news4jax, 4/14/2017",17,M,Florida,"Hanna Park, Jacksonville, Duval County",N,surfing,other
12-Apr,Spring,2017,Unprovoked,usa,"the surf station, 4/13/2017",Unknown,F,Florida,St. Augustine,N,surfing,other
12-Apr,,2017,Invalid,south africa,"e. ritter, gsaf",68,M,Kwazulu-Natal,Protea Banks,Unknown,other,other
11-Apr,Spring,2017,Unprovoked,usa,"wftv, 4/11/2017",35,F,Florida,"Ormond Beach, Volusia County",N,surfing,other
10-Apr,Spring,2017,Unprovoked,usa,"brevard times, 4/10/2017",10,F,Florida,"Melbourne Beach, Brevard County",N,paddle,other
10-Apr,Spring,2017,Unprovoked,usa,"brevard times, 4/10/2017",21,F,Florida,"Melbourne Beach, Brevard County",N,swimming,other
06-Apr,Spring,2017,Unprovoked,usa,"bradenton herald, 4/7/2017",16,M,Florida,"Daytona, Volusia County",N,swimming,other
05-Apr,Spring,2017,Unprovoked,usa,"ajc, 4/5/2017",51,F,Florida,"New Smyrna Beach, Volusia County",N,swimming,other
02-Apr,,2017,Unprovoked,australia,"philly.com, 4/3/2017",39,M,Queensland,Moreton Bay,N,other,other
02-Apr,Spring,2017,Unprovoked,usa,okaloosa county sheriff's office,17,F,Florida,"Destin, Okaloosa County",N,swimming,bull shark
27-Mar,Spring,2017,Unprovoked,usa,"orlando sentinel, 3/27/2017",58,M,Florida,"New Smyrna Beach, Volusia County",N,surfing,other
19-Mar,,2017,Unprovoked,australia,"illawarra mercury, 1/19/2017",30,M,New South Wales,The Farm,N,other,other
18-Mar,Spring,2017,Watercraft,usa,"r. collier, gsaf",Unknown,M,California,Monterey Bay,N,kayaking,white shark
11-Mar,,2017,Unprovoked,philippines,"abs-cbn, 3/13/2017",25,M,Unknown,"Villamar, Caoayan",N,fishing,other
Unknown,Unknown,2017,Unprovoked,bahamas,"kent live, 3/9/2017",58,M,The Exuma Cays,Great Exuma,N,other,other
07-Mar,,2017,Provoked,mexico,"k. mcmurray, tracking sharks.com, 12/21/2018",Unknown,M,Tamaulipas,"Playa Baghdad, Matamoros",N,fishing,other
01-Mar,,2017,Unprovoked,bahamas,"k. mcmurray, tracking sharks.com, 5/25/2017",Unknown,F,The Exuma Cays,Compass Cay,N,other,other
25-Feb,,2017,Unprovoked,australia,"perth now, 2/27/2017",Unknown,F,Western Australia,Mauds Point,N,snorkeling,bull shark
24-Feb,,2017,Unprovoked,australia,"perth now, 2/24/2017",Unknown,M,Western Australia,"Falcon Bay Beach, Mandurah",N,surfing,other
21-Feb,,2017,Unprovoked,reunion,"surfline, 2/21/2017",26,M,Saint-Andre,,Y,other,other
17-Feb,,2017,Unprovoked,australia,"courier mail, 2/18/2017",26,M,Queensland,Eva Rock,N,fishing,other
11-Feb,Winter,2017,Unprovoked,usa,"florida today, 2/11/2017",22,M,Florida,"Melbourne Beach, Brevard County",N,swimming,other
06-Feb,,2017,Provoked,brazil,"o popular, 2/7/2017",Unknown,F,Pernambuco,Fernando de Noronha Marine Park,N,other,other
06-Feb,,2017,Watercraft,south africa,"the citizen, 2/8/2017",Unknown,M,Kwazulu-Natal,Eastmoor Crescent Beach,N,fishing,tiger shark
01-Feb,Winter,2017,Watercraft,usa,"youtube, 2/2/2017",Unknown,Unknown,South Carolina,16 miles off Hilton Head,N,fishing,white shark
01-Feb,,2017,Unprovoked,bahamas,"dutch news, 2/2/2017",37,M,Bimini,,N,other,reef shark
Unknown,Unknown,2017,Unprovoked,usa,john sheele md,13,M,Unknown,Southern USA,N,other,other
24-Jan,,2017,Unprovoked,brazil,"k. mcmurray, tracking sharks",21,M,Pernambuco,"Boa Viagem, Recife",N,swimming,other
22-Jan,Winter,2017,Unprovoked,usa,"tcpalm, 1/22/2017",15,M,Florida,"Vero Beach, Indian River County",N,other,other
21-Jan,,2017,Unprovoked,australia,"abc, 1/21/2017",55,M,Queensland,"Boot Reef, Torres Strait",N,other,bull shark
13-Jan,,2017,Unprovoked,australia,"brisbane times,1/13/2017",57,M,Queensland,Clairview,N,swimming,other
13-Jan,Winter,2017,Unprovoked,usa,wptv. 1/13/2017,Unknown,M,Florida,Jensen Beach,N,other,other
09-Jan,,2017,Unprovoked,indonesia,"daily mail, 1/11/2017",48,M,Bali,Balian Beach,N,surfing,bull shark
Unknown,Unknown,Unknown,Invalid,australia,liquid vision 1/8/2017,35,M,Queensland,,Unknown,fishing,bull shark
05-Jan,Winter,2017,Unprovoked,usa,"florida today, 1/5/2017",47,M,Florida,"Blockhouse Beach, Brevard County",N,wading,other
03-Jan,,2017,Invalid,australia,"illawarra mercury, 1/7/2017",20,M,New South Wales,Merimbula,Unknown,wading,other
27-Dec,Winter,2016,Unprovoked,usa,"tcpalm, 12/28/2016",16,M,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",N,surfing,other
24-Dec,,2016,Unprovoked,australia,"perth now, 12/28/2016",Unknown,F,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",N,snorkeling,other
19-Dec,,2016,Unprovoked,south africa,"the citizen, 12/19/2016",55,M,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",N,surfing,white shark
14-Dec,,2016,Unprovoked,australia,"perth now, 12/15/2016",61,M,Western Australia,Trigg Beach,N,other,other
11-Dec,,2016,Unprovoked,french polynesia,"tahiti info, 12/12/2016",Unknown,M,Tuamotos,Takapoto Atoll,N,fishing,other
11-Dec,Winter,2016,Invalid,usa,"news journal, 12/15/2016",19,M,Florida,"New Smyrna Beach, Volusia County",Unknown,surfing,other
06-Dec,,2016,Provoked,australia,bay 93.9 geelong,20,M,New South Wales,Merimbula,N,surfing,other
01-Dec,,2016,Unprovoked,australia,"b. myatt, gsaf",65,M,New South Wales,Booti Booti National Park,N,surfing,white shark
28-Nov,,2016,Provoked,australia,"abc news, 11/28/2016",73,M,Victoria,Queenscliff,N,fishing,other
17-Nov,,2016,Unprovoked,mozambique,bob myatt gsaf,Unknown,M,Inhambane Province,Chicuque Beac Maxixe City,Unknown,other,other
14-Nov,Fall,2016,Unprovoked,usa,"maui news, 11/14/2016",58,F,Hawaii,"Kamaole Beach Park I, Maui",N,other,tiger shark
19-Oct,Fall,2015,Unprovoked,usa,"nbc6.com, 10/19/2015",21,M,Florida,"Deerfield Beach, Broward County",N,surfing,other
25-Nov,Fall,1976,Unprovoked,usa,"a. brenneka; e. pace; ny times, 11/26/1976, i, p.18, col.6",19,M,Florida,"Delray Beach, Palm Beach County",N,surfing,bull shark
24-Oct,,2016,Unprovoked,australia,"daily mail, 10/24/2016",36,M,New South Wales,Broken Head Beach,N,surfing,other
21-Oct,Fall,2016,Unprovoked,usa,"surfline, 10/23/2016",36,M,Hawaii,"Hooipa Beach Park, Maui",N,surfing,other
15-Oct,,2016,Unprovoked,australia,"daily mail, 10/16/2016",Unknown,M,Queensland,"Kings Beach, Caloundra",N,surfing,other
14-Oct,Fall,2016,Unprovoked,usa,maui news,66,F,Hawaii,"Charlie Young Beach, Kihei, Maui",N,snorkeling,other
13-Oct,,2016,Invalid,mexico,youtube,Unknown,M,Unknown,Guadalupe Island,Unknown,other,white shark
12-Oct,,2016,Unprovoked,australia,"courier mail, 10/12/2016",25,M,New South Wales,"Sharpes Beach, Ballina",N,surfing,other
10-Oct,Fall,2016,Unprovoked,usa,"up beacon, 10/12/2016",29,M,Oregon,"Indian Beach, Ecola State Park, Clatsop County",N,surfing,other
03-Oct,,2016,Unprovoked,mozambique,bob myatt gsaf,Unknown,M,Inhambane Province,,Y,fishing,other
10-Oct,Fall,2013,Unprovoked,usa,"monroe county advocate, 10/9/2013",12,M,Florida,"Destin, Okaloosa County",N,wading,bull shark
13-Oct,Fall,1968,Unprovoked,usa,"h.d. baldridge, p.185",Unknown,M,Florida,"Egmont Key, Hillsborough County",N,fishing,bull shark
26-Sep,,2016,Unprovoked,australia,"abc.net.au, 09/26/2016",17,M,New South Wales,"Lighthouse Beach, Ballina",N,surfing,white shark
08-Sep,Fall,2001,Provoked,usa,"orlando sentinel, 9/9/2001",44,M,Florida,"Everglades National Park, Monroe County",N,fishing,other
20-Sep,Fall,2015,Unprovoked,usa,"news4jax, 9/21/2015",12,M,Florida,"Fernandina Beach, Amelia Island, Nassau County",N,wading,other
16-Sep,Fall,2007,Unprovoked,usa,wsbtv.com,15,F,Florida,"Flagler Beach, Flagler County",N,surfing,other
17-Sep,Fall,2016,Unprovoked,usa,"r. collier, gsaf",43,M,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",N,surfing,other
17-Sep,,2016,Unprovoked,australia,"the age, 9/18/2016",Unknown,M,Victoria,Thirteenth Beach,N,surfing,other
16-Sep,,2016,Unprovoked,australia,"the age, 9/16/2016",Unknown,M,Victoria,Bells Beach,N,surfing,other
15-Sep,,2016,Watercraft,australia,"west australian, 9/15/2016",Unknown,Unknown,Western Australia,Bunbury,N,fishing,other
02-Sep,Fall,2014,Provoked,usa,"wpbf.com, 9/2/2014",52,M,Florida,"Fletcher Beach, Hutchinson Island, Martin County",N,fishing,other
07-Sep,Fall,2016,Unprovoked,usa,"hawaii news now, 9/7/2016",51,F,Hawaii,"Makaha, Oahu",N,swimming,tiger shark
06-Sep,,2016,Unprovoked,new caledonia,"tvanouvelles, 9/6/2016",50,M,North Province,Koumac,Y,surfing,other
05-Sep,Fall,2016,Unprovoked,usa,"c. creswell, gsaf",12,F,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",N,other,other
05-Sep,,2016,Unprovoked,australia,"perth now, 9/5/2016",Unknown,M,Western Australia,Injidup ,N,surfing,other
08-Sep,Fall,1966,Provoked,usa,"san antonio express, 9/9/1966",14,M,Florida,"Florida Keys, Monroe County",N,fishing,other
01-Sep,Fall,2016,Unprovoked,usa,"r. collier, gsaf",22,M,California,"Refugio State Beach, Santa Barbara County",N,fishing,white shark
Unknown,Unknown,2016,Invalid,mexico,k. yonker,Unknown,Unknown,Unknown,Guadalupe Island,Unknown,other,other
29-Aug,Summer,2016,Unprovoked,usa,"news channel 8, 8/30/16",25,M,Florida,"New Smyrna Beach, Volusia County",N,surfing,bull shark
29-Aug,Summer,2016,Unprovoked,usa,"news channel 8, 8/30/16",37,M,Florida,"New Smyrna Beach, Volusia County",N,surfing,other
27-Aug,,2016,Unprovoked,reunion,"ladepeche, 8/29/2016",20,M,Unknown,Boucan Canot,N,surfing,bull shark
25-Aug,Summer,2016,Unprovoked,usa,"first coast news, 7/25/2016",49,M,Florida,"Ponte Vedra, St. Johns County",N,wading,other
07-Aug,,2016,Unprovoked,bahamas,"abc, 8/11/2016",15,M,Unknown,Nassau,N,snorkeling,other
06-Aug,Summer,2016,Unprovoked,usa,"sup, 8/9/2015",21,M,Hawaii,Maui,N,other,tiger shark
04-Aug,Summer,2016,Unprovoked,usa,"news 965, 8/5/2016",22,M,Florida,"New Smyrna Beach, Volusia County",N,surfing,other
29-Jul,,2016,Unprovoked,spain,"informacion.es, 7/29/2016",40,M,Alicante Province,Arenales del Sol,N,swimming,other
28-Jul,,2016,Unprovoked,china,"klassick, 7/28/2016",72,M,Hong Kong,,N,swimming,other
28-Jul,,2016,Watercraft,australia,"abc australia, 7/28/2016",Unknown,M,Western Australia,Near Albany,N,other,white shark
27-Jul,Summer,2016,Provoked,usa,"tampa bay times, 7/27/2016",43,M,Florida,"Florida Keys, Monroe County",N,other,other
26-Jul,,2016,Unprovoked,australia,"gold coast bulletin, 7/28/2016",18,M,New South Wales,"Sharpes Beach, Ballina",N,surfing,other
24-Jul,,2016,Unprovoked,japan,"japan times, 7/25/2016",29,M,Kochi Prefecture,Irino Beach,N,surfing,other
23-Jul,,2016,Unprovoked,australia,"c. black, gsaf",36,M,Tasmania,Clifton Beach,N,surfing,other
23-Jul,,2016,Unprovoked,bahamas,"kwtx, 7/23/2016",Unknown,M,Unknown,Green Turtle Cay,N,fishing,bull shark
20-Jul,,2016,Provoked,australia,"nine news, 7/20/2016",31,M,Queensland,"20 k off The Spit, off the Gold Coast",N,fishing,reef shark
17-Jul,Summer,2016,Watercraft,usa,"al.com, 7/19/2016",Unknown,Unknown,Alabama,8 miles off Mobile,N,fishing,tiger shark
16-Jul,Summer,2016,Unprovoked,usa,"orlando sentinel, 7/21/2016",9,F,Florida,"New Smyrna Beach, Volusia County",N,surfing,other
16-Jul,Summer,2016,Unprovoked,usa,"orlando sentinel, 7/21/2016",11,F,Florida,"New Smyrna Beach, Volusia County",N,other,other
15-Jul,Summer,2016,Unprovoked,usa,"r. collier, gsaf",61,M,California,"Surfside, Orange County",N,surfing,white shark
15-Jul,Summer,2016,Unprovoked,usa,"c. creswell, gsaf",Unknown,M,South Carolina,"North Myrtle Beach, Horry County",N,swimming,other
Unknown,Unknown,2016,Unprovoked,bahamas,"grindtv, 7/14/2016",Unknown,M,Unknown,Tiger Beach,N,other,other
Unknown,Unknown,2016,Unprovoked,spain,la opinion de tenerife,10,F,Unknown,"Las Teresitas, Tenerife",N,wading,other
08-Jul,Summer,2016,Watercraft,usa,"r. collier, gsaf",Unknown,M,California,"Capitola, Santa Cruz County",N,fishing,white shark
07-Jul,Summer,2016,Provoked,usa,salem news 7/8/2016,59,M,Massachusetts,"Off Gloucester, Essec County",N,fishing,other
07-Jul,Summer,2016,Watercraft,usa,"r. collier, gsaf",Unknown,M,California,"Off Palos Verdes peninsula, Los Angeles County",N,fishing,white shark
06-Jul,Summer,2016,Unprovoked,usa,"florida today, 7/6/2016",42,F,Florida,"Melbourne Beach, Brevard County",N,swimming,other
